FIPS,2014 DR,2015 DR,2016 DR,2017 DR,2018 DR,2019 DR,2020 DR
31037,1.4,1.4,0.5,0.1,-9.0,12.0,10.3
31039,29.6,30.6,29.1,25.4,23.1,5.2,10.0
31041,93.1,83.0,91.1,79.1,75.7,47.0,43.3
31043,75.1,73.3,73.2,65.7,63.2,20.6,21.4
31045,75.6,70.8,72.9,65.4,56.8,36.9,35.9
31047,53.4,52.0,56.3,58.1,54.9,26.7,25.1
31049,4.3,4.3,3.9,0.9,-9.0,3.0,2.1
31051,11.2,12.5,12.7,11.2,10.4,10.6,8.1
31053,107.7,104.3,100.7,90.3,79.5,55.2,43.1
31055,72.3,66.7,64.5,57.3,49.6,67.9,64.3
31057,111.3,115.2,124.9,106.6,107.7,45.7,30.8
31059,2.5,5.2,2.6,0.4,0.1,20.1,20.0
31061,3.6,4.2,-9.0,-9.0,-9.0,75.4,80.6
31063,-9.0,-9.0,-9.0,-9.0,-9.0,3.2,5.0
31065,2.1,3.8,2.9,1.2,-9.0,27.5,31.6
31067,90.3,76.1,62.2,54.1,41.1,25.6,25.6
31069,104.1,111.8,117.3,102.9,89.5,35.8,30.2
31071,7.3,11.4,13.3,105.4,165.4,93.4,75.0
31073,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31075,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31077,0.4,0.7,-9.0,-9.0,-9.0,-9.0,-9.0
31079,89.1,82.9,77.5,70.6,64.3,67.0,64.7
31081,68.9,68.1,65.2,59.1,52.6,57.0,57.7
31083,86.2,85.5,86.0,81.8,80.4,29.4,34.6
31085,-9.0,-9.0,-9.0,-9.0,-9.0,2.1,2.3
31087,-9.0,-9.0,-9.0,-9.0,-9.0,18.5,17.4
31089,78.2,73.3,59.5,34.6,11.6,24.2,48.8
31091,-9.0,-9.0,-9.0,-9.0,-9.0,13.2,14.6
31093,80.9,77.7,70.6,60.2,55.0,40.8,36.0
31095,135.5,115.8,118.0,109.6,105.9,47.2,44.5
31097,51.4,51.0,46.1,43.8,45.3,62.3,51.0
31099,69.9,65.5,62.7,53.9,44.7,32.1,28.3
31101,134.1,122.0,119.6,103.6,93.2,48.2,47.4
31103,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31105,-9.0,-9.0,2.9,1.1,-9.0,16.4,35.9
31107,32.2,27.4,27.7,27.2,29.0,31.7,28.4
31109,69.0,64.1,62.9,56.2,50.3,52.1,47.6
31111,107.8,102.2,95.9,90.7,81.3,76.0,76.8
31113,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31115,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31117,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31119,103.2,95.8,89.1,83.7,79.4,71.3,92.2
31121,66.7,65.2,61.3,58.4,77.6,39.1,39.0
31123,58.0,69.0,60.4,56.8,57.7,16.4,12.4
31125,21.7,45.2,44.6,43.4,39.2,8.6,4.5
31127,104.5,101.6,93.9,89.8,82.4,67.8,77.9
